competition,saison,sport_event_id,date,equipe,joueur_id,joueur,maillot,titulaire,minutes,essais
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2785105,"Kaddouri, Alexandre",1,1,44.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:960134,"Bourgarit, Pierre",2,1,44.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2854425,"Sorin, Karl",3,1,40.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2855647,"Kante Samba, Charles",4,1,40.0,1
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2856281,"Adelaide, Thomas",5,1,40.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2174488,"McFarland, Theo",6,1,80.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2273271,"Jegou, Oscar",7,1,78.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:1325424,"Alldritt, Gregory",8,1,80.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2111942,"Le Garrec, Nolan",9,1,80.0,1
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:994075,"Hastoy, Antoine",10,1,80.0,1
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:762692,"Leyds, Dillyn",11,1,80.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2822089,"Daunivucu, Simeli",12,1,80.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:517048,"Seuteni, UJ",13,1,80.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:504460,"Nowell, Jack",14,1,80.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2084169,"Niniashvili, Davit",15,1,78.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:535510,"Latu, Tolu",16,0,36.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2506903,"Penverne, Louis",17,0,36.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:1694125,"Boudehent, Paul",18,0,40.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2712788,"Timo, Andy",19,0,2.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2943733,"Tuifua, Samuel",20,0,12.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2273265,"Haddad, Matthias",21,0,28.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:3254198,"Elissalde, Sacha",22,0,2.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Rochelais,sr:player:2273303,"Kuntelia, Aleksandre",23,0,40.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Toulousain,sr:player:765328,"Neti, Rodrigue",1,1,60.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Toulousain,sr:player:767768,"Marchand, Julien",2,1,59.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Toulousain,sr:player:2507891,"Mallez, Paul",3,1,61.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Toulousain,sr:player:1887358,"Flament, Thibaud",4,1,80.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Toulousain,sr:player:2070241,"Meafou, Emmanuel",5,1,58.0,1
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Toulousain,sr:player:511830,"Cros, Francois",6,1,80.0,0
Top 14,Top 14 26/27,sr:sport_event:72875714,2026-09-06,Stade Toulousain,sr:player:2855749,"Martin Bonnard, Romeo",7,1,80.0,0
